Message,Tag,Page নাম,Total Tagged (no confusion),Count 0,Count 1,Count 2,Count 3,Count 4,Count 5,Total Normal,Total Hate
আল জাজিরা টাকা খেয়ে মিথ্যা নিউজ করে  কিন্তু ৭১ টিভি আর বাতাবী লেবুর চাষ করা বাংলাদেশী মিডিয়া সত্য নিউজ করে হাইস্যকর ব্রো,0,Shomoy TV,,,,,,,,,
স্যালুট ড নাম,0,Shomoy TV,,,,,,,,,
শেষমেস ঐ বুড়া বেডারেও ছারলো না,0,Shomoy TV,,,,,,,,,
আল জাজিরার উচিৎ বাংলাদেশের  দালাল মিডিয়া গুলোকে নিয়ে একটা প্রতিবেদন তৈরি করা,0,Shomoy TV,,,,,,,,,
সময় নিউজ ও তো আওয়ামী পা চাটা কুত্তা,2,Shomoy TV,,,,,,,,,
সময় টিভি মিনিটে মিনিটে সত্য সংবাদ দিচ্ছে ধন্যবাদ বেগুন চাষের কারখানা সময় টিভি,0,Shomoy TV,,,,,,,,,
একজন বিটিভির দর্শকের মন্তব্যশুধু শান্তি আর শান্তি উন্নয়ন আর উন্নয়ন,0,Shomoy TV,,,,,,,,,
সময় টিভির পেন্ট মনে হয় খুলে গেছে তাদের মাথা ব্যাথার শেষ নেই,2,Shomoy TV,,,,,,,,,
গম চোরের চ্যানেল চোরদের পক্ষেই সাফাই গাইবে এটাই স্বাভাবিক ,0,Shomoy TV,,,,,,,,,
একমাত্র বোকাচোদা আবালেরাই নামকে চাঁদে দেখে ও আল জাজিরায় গিয়ে গদি দখল দেখে,5,Shomoy TV,,,,,,,,,
দালাল টিভি,2,Shomoy TV,,,,,,,,,
সময় টিভি লাগছে এবারপদ্মা সেতু আর নামনাম পর সবচেয়ে বড় প্রজেক্ট এটা আমরা কোন যুক্তি মানবো না সময় টিভি ছাড়া অন্যকিছু দেখবো না,0,Shomoy TV,,,,,,,,,
অল হ্যাটারস জাস্ট ফাক আফ,5,Mufassil Islam,,,,,,,,,
তুই আয় সালার বেজন্মা,1,Mufassil Islam,,,,,,,,,
তোর ভবিষ্যত আগের থেকে দেখে নে,0,Mufassil Islam,,,,,,,,,
পৃথিবীতে আমার দেখা সবচেয়ে পোল্টি বাজ ধোঁকা বাজ বদমাস বহুরূপি  চিড়িয়া হচ্ছে এই কুলাঙ্গার নাম,1,Mufassil Islam,,,,,,,,,
নাস্তিকদেরও ৫৭টা মুসলিম রাষ্ট্র হয় ভাবা যায় পুরোটাই ঘাপলা  নিঃসন্দেহে স্পেশাল মিশনে বিশেষভাবে প্রশিক্ষণপ্রাপ্ত জামাতি,0,Mufassil Islam,,,,,,,,,
আর যুদ্ধ নয় শান্তি চাই যুদ্ধ মানে হত্যা ধ্বংস যজ্ঞ ১ম ও দ্বিতীয় বিশ্ব যুদ্ধে ৮ কোটি মানুষ প্রান হারায় পাকিস্তানী স্বৈর সরকার ৭১ বাদে দীর্ঘ ২৩ বছরে ১২ জন পু্র্ব পাকিস্তানীকে হত্যা করে কাস্মীরে স্বাধীনতা কামীদের ভারত হত্যা করছে অমানবিক নির্যাতন করছে,0,Mufassil Islam,,,,,,,,,
মূর্খ ধর্মব্যবসায়ীদের পতন হোক,2,Mufassil Islam,,,,,,,,,
নামের শেষে ইসলাম লাগিয়ে রাখছেন কেন এটা কেমন ট্রিক যাতে আপনি বিশ্বাসী না তা ধারণ করেন কেন এটা কেমন হঠকারিতা বাবা মায়ের দেয়া নাম এরকম বাজে অজুহাতরদেবেন না,0,Mufassil Islam,,,,,,,,,
তুমি কথ বড় ইতরি স্বভাবের লোক এটা এর প্রমাণ যা তুমি নিজে যে ইতর সে আপার নীতি বাক্য প্রশব করা আর কুকুরে মত বক বক করা সমান,1,Mufassil Islam,,,,,,,,,
ওরে বাটপার,?,Mufassil Islam,,,,,,,,,
কিরে নাম পাগলা,0,Mufassil Islam,,,,,,,,,
আল্লাহ এক তিনি অমুখাপেক্ষী তাকে কেউ জন্ম দেন নি তিনিও কাউকে জন্ম দেয় নি তার সমতুল্য কেউ নেই আলকুরআন ১১২ আয়াত (১৪),0,Mufassil Islam,,,,,,,,,
কিরে খানকি মাগির পুলা কুপা নাম তোর ১১ বাপকে মারল তোর মামা খৃষ্টানরা এখন কোথায় তোর চুলকানি তোর বাপের যদি পরিচয় থেকেই থাকে পতিবাদ করে দেখ তোর পিটের চামরা থাকে কিনা,1,Mufassil Islam,,,,,,,,,
বদরে কি সবাই নিরঅস্ত্র ছিল নাকি,0,Mufassil Islam,,,,,,,,,
তোর মা আর বাপে বদরের যুদ্ধের সময় ছিল,?,Mufassil Islam,,,,,,,,,
নাম ভাই আপনার সাথে একটু কথা বলতে চাই,0,Mufassil Islam,,,,,,,,,
কোন নিশিদ্ধ পল্লীতে জন্ম তোর নাকি কোনো এক রাতের কনডম এক্সিডেন্ট এর ফল তুই আসলে দোষ হলো এই দেশের! যদি সরকার সময় মত তোর বাপের হাতে হিরো বেলুন আর তোর মায়ের হাতে সুখি বরি তুলে দিতো তাহলে তোর মত একটা হিজরা আজ দেখতে হতো না জাতি,1,Mufassil Islam,,,,,,,,,
সত্যিকারের কাজ করলে ঝড় আসবে এগিয়ে জান,4,Mufassil Islam,,,,,,,,,
আল বদর এর হত্যা নিয়া তোমার প্রচুর চুলকায় মাগার মুক্তিযুদ্ধ নিয়া তোমার চুলকায় না কেন এইটা যদি গনহত্যা হয় তাহলে মুক্তিযুদ্ধ  কি  গনহত্যা  হয়না  হিটলার যে এতো গুলি মানুষ মারলো তা নিয়া তোমার চুলকানী দেখিনা কেন বাচা দন মিয়ানমার  এ যে এতো মানুষ হত্য করলো তা নিয়া চুলকায় না কেন তোমার,0,Mufassil Islam,,,,,,,,,
শালার ছাগল,1,Mufassil Islam,,,,,,,,,
সালায় পাগলকে পুরোপুরি সুস্থ হওয়ার আগে ছেরে দিল কেন,1,Mufassil Islam,,,,,,,,,
কুত্তার বাচ্ছা এত গালি খেয়েও টিক হস না,1,Mufassil Islam,,,,,,,,,
আপনি একজন ব্রিলিয়ান্ট তবে এখন নাট বল্টু ঢিলা ঢিলে হয়েছে মনে হয়,1,Mufassil Islam,,,,,,,,,
নাম তুই একটু মৃত্যু নিয়ে চ্যালেঞ্জ কর তো না তোর জন্য তো এটা অস্বাভাবিক কিচ্ছু না তুই চ্যালেঞ্জ করতেই পারিস্,0,Mufassil Islam,,,,,,,,,
তুই একবাপের জন্ম হইলে আয় আমার কাছে তোরে কুত্তার মত মারুম আমার নাম নাম ঢাকা থাকি আয় তোরে ঠিকানা দিলাম তোর বুকে দম থাকলে আয় ,3,Mufassil Islam,,,,,,,,,
নাম সাহেব তোমার মত কুকুর যদি প্রতি মাসে একসাথে ২০০ থেকে ৪০০ টা করেও যদি বাচ্চা জন্ম দেয় তারপরও তাদের বংশ বিস্তার জীবনেও হবে না তাদের ধ্বংস অনিবার্য কারণ ইসলামকে কেউ কখনো নিশ্চিহ্ন করতে পারে নি পারবে ও না যুগে যুগে তোমার মত বহু নাস্তিক এসেছে গেছে কেউ কিছুই করতে পারে নাই তারা সব নিজে থেকেই শেষ হয়ে গিয়েছে,1,Mufassil Islam,,,,,,,,,
স্যার আপনাকে গুরু ভেবে কি ভুলটাই না করেছি আমি ছিঃ  কোন কারণে এইসব জানিনা  তবে আস্তিক হওয়াটা অতি নাটুকিও  কারণটা ব্যক্তিগত ভাবে জানালে খুশি হবো,0,Mufassil Islam,,,,,,,,,
নাম আমি এখানেও তুর জন্য আমি বাশ কিনে আনতেছি অপেক্ষা কর,1,Mufassil Islam,,,,,,,,,
সংগ্রামের নতুন লক্ষ্য হল চাপাবাজি করে এবং দালালি করে ইসলামের ক্ষতি করা কিন্তু মানুষ কি এত বোকাতুর ইনকাম সোর্স কি সেটা তো বুঝে ফেলেছে,0,Mufassil Islam,,,,,,,,,
বাংলাদেশ থেকে বেইমান মুনাফিক নাস্তিক দের নির্মূল করে দেওয়া হবে,2,Mufassil Islam,,,,,,,,,
তুই কে উনার পায়ের নখের সমান যোগ্যতা আছে তোর সময় বেশি দিন নাই নাম দিন গুনতে থাক,3,Mufassil Islam,,,,,,,,,
আপনিযে আসলে বিজনমা এতদিন পর বুজলাম,1,Mufassil Islam,,,,,,,,,
আমেরিকা থাক বলে নিজেকে  বড় ভাববার কিছু নাই তবে তুমি যে একটা নর্দমার কিট এটা তোমার ব্যবহার প্রমাণ করে,1,Mufassil Islam,,,,,,,,,
তুমি সমকামী,1,Mufassil Islam,,,,,,,,,
এই ভিডিও টা সম্পুর্ন মিথ্যা,0,Mufassil Islam,,,,,,,,,
শাহবাগে ৭১ এর  ধর্ষক ঘাতকদের ফাসি চাওয়া নাস্তিকেরা অন্য ধর্ষকদের কেন ফাসি চাই না,0,Lopa Rahman,,,,,,,,,
ধর্ষকরা ও মানুষ তাদের ও বেঁচে থাকার অধিকার আছে,0,Lopa Rahman,,,,,,,,,
ভারত মানে বিনোদন ভারত মার গুড় দিয়ে চিনি চিনি দিয়ে চা ফুঁ দিয়ে খা,0,Lopa Rahman,,,,,,,,,
নারীদের পর্দা করা প্রয়োজন,0,Lopa Rahman,,,,,,,,,
কিন্তু তোর মত নাস্তিক হয়ে কখনো জান্নাতে প্রবেশ করতে পারবি না ,1,Lopa Rahman,,,,,,,,,
ঔই খানকি,1,Lopa Rahman,,,,,,,,,
বেশ্যা তুই খানকি,1,Lopa Rahman,,,,,,,,,
দুটোই একি সূত্রে ঘাঁথা,0,Lopa Rahman,,,,,,,,,
তুই মূর্খ তোর বাপ মূর্খ তোর চৌদ্দ গুষ্টি মূর্খ,1,Lopa Rahman,,,,,,,,,
এ খানকি কতো নিবি বল,1,Lopa Rahman,,,,,,,,,
না হলে তরে চুদবে কে,1,Lopa Rahman,,,,,,,,,
এ মাগি তোরে চুদতে চাই কয় কোটি নিবি বল মাগি,1,Lopa Rahman,,,,,,,,,
মাুনুষের গু খাবি,1,Lopa Rahman,,,,,,,,,
নাম তুমি আমার মুত খাও তাহলে তোমার কোনোদিন করোনা হবে না,1,Lopa Rahman,,,,,,,,,
নাম তোরে যদি আমার কাছে পাইতাম তাহলে তোকে অন্তত ৫০০০০ হাজার কুত্তা দিয়ে চোদাইতাম শুধু একমাত্র আমার নবীজী কে গালি দেওয়ার জন্য,1,Lopa Rahman,,,,,,,,,
শুধু তাই না ঐ সমস্ত বাচ্চাদের জন্য তৈরি করেছিলো অসংখ্য মাদ্রাসা যাতে আধুনিক শিক্ষা থেকে বঞ্চিত করে ধর্মীয় শিক্ষার সুযোগ দিয়ে পঙ্গু জাতিতে রুপান্তরিত করা যায়,0,Lopa Rahman,,,,,,,,,
তোর মায়েরে নাকি পাকিস্তানের সেনারা তিন দিন যাবত চুদেছিলো,1,Lopa Rahman,,,,,,,,,
আপনি এখন কই বাপ দাদাদের দেশে চলে গেছেন রক্তের টানে,0,Lopa Rahman,,,,,,,,,
নাম বেশ্যার ঘরের বেশ্যা,1,Lopa Rahman,,,,,,,,,
এটার বিষয়ে কিছু বলার আছে,0,Lopa Rahman,,,,,,,,,
ঠিক বলেছেন দিদিভাই ,0,Lopa Rahman,,,,,,,,,
তিন ভাগে ভাগ ভাগ তো নাস্তিকরাই গণহত্যা খুন করিয়েছে যারা ধর্ম বিশ্বাসী নয় খুন গণহত্যা টাই বেশি ভালোবাসে তার এটা প্রমাণ,0,Lopa Rahman,,,,,,,,,
তর হোগায় রামের ধোন ঢুকা মাগি,1,Lopa Rahman,,,,,,,,,
রামটা কে ওটা তো একটা কাল্পনিক চরিত্র মাত্র,2,Lopa Rahman,,,,,,,,,
তোকে চুদবো লুপা দিবি,1,Lopa Rahman,,,,,,,,,
আপনার রাম প্রেম আর ইসলাম বিদ্বেষ দেখলেই বুঝা যায় আপনি নাস্তিক না টাকার দালাল,1,Lopa Rahman,,,,,,,,,
ঠিক বলেছেন,0,Lopa Rahman,,,,,,,,,
ধন্যবাদ তোমাকে,0,Lopa Rahman,,,,,,,,,
নাম ম্যাডাম এটা কি আপনার কথা আপনাকেতো বুদ্ধিমতী হিসেবেই জানতাম,0,Lopa Rahman,,,,,,,,,
ঠিক আপু,0,Lopa Rahman,,,,,,,,,
আর নাম ব্যাপার টা নিয়ে আপনার মতামত কি,0,Lopa Rahman,,,,,,,,,
বয়স তো আর কম হয় নাই ছোট্ট ভেলার কথা যখন আমরা খেলা খেলতাম তখন তাই বলতাম চলো আবার শৈশব এ পীরে যাই মধু  মালতি  কে ডাকে আয়,0,Lopa Rahman,,,,,,,,,
ভারত যদি শূন্য না দিত তাহলে বিজ্ঞান ও প্রযুক্তি কি উন্নতি করতে পারত তাই বলি ভরতের অবদান না থাকলে দুনিয়া এগতে পারত না,0,Lopa Rahman,,,,,,,,,
বিনোদিনী নাম আর বিনোদ বাবু নাম মোল্লারা বলে এদের ধোরে শুধু কোপা,2,Lopa Rahman,,,,,,,,,
তাই কি,0,Lopa Rahman,,,,,,,,,
হা হা হা,0,Lopa Rahman,,,,,,,,,
আমি ফূল দেখেছি  ফূল ফুটতে দেখি নি কোনো দিন,0,Lopa Rahman,,,,,,,,,
নাম চ্যুতমারানি দেশে আই তোরে চুদব,1,Lopa Rahman,,,,,,,,,
শুভ নববর্ষ,0,Lopa Rahman,,,,,,,,,
আসুন মাছি দমন কর্মসূচি পালন করি,0,Lopa Rahman,,,,,,,,,
খাওয়ার মালতো কাছে পেলে খাবেই,0,Lopa Rahman,,,,,,,,,
মানুষ দামী জিনিকেই ঢেকে রাখে,0,Lopa Rahman,,,,,,,,,
নাস্তিক আপু নিজে যা বলেন সেটা কি আপনি বুঝেন কি বলেন,0,Lopa Rahman,,,,,,,,,
নববর্ষের শুভেচ্ছা রইল তোমাকে ও তোমার পরিবারের সবাই কে শুভ নববর্ষ,0,Lopa Rahman,,,,,,,,,
সবাই না আপা,0,Lopa Rahman,,,,,,,,,
আজকে কয়জন কাস্টমার পাইসো নাম কনডম ব্যবহার কইরো,1,Lopa Rahman,,,,,,,,,
তোমার রক্তচোষা দাঁতের ভংগী বৈশাখে কি বদলাবে,1,Lopa Rahman,,,,,,,,,
নাম বেশ্যার ঘরের বেশ্যা,1,Lopa Rahman,,,,,,,,,
তোকে বেগুন মারতে হবে,1,Lopa Rahman,,,,,,,,,
তবে আপনি ইসলামের পথে ফিরে আসুন,0,Lopa Rahman,,,,,,,,,
কথা আপনার ঠিক,0,Lopa Rahman,,,,,,,,,
মাতা টিক আছে তো তোমার,0,Lopa Rahman,,,,,,,,,
তারা পাপ করছে ,0,Lopa Rahman,,,,,,,,,
তবে কঠিন সময় আসছে নাম দেশে,0,Lopa Rahman,,,,,,,,,
নামকে পর্নো গ্রাফির সানি লিওনের মতো লাগে,1,Lopa Rahman,,,,,,,,,
বিয়ে প্রথাটা প্রত্যেক ধর্মে এসেছে সামাজিক শৃঙ্খলা রক্ষা করার জন্য,0,Lopa Rahman,,,,,,,,,
তারা পাগল তাই,0,Lopa Rahman,,,,,,,,,
আপা আপনি ফিরে আসেন ইসলামের পথে,0,Lopa Rahman,,,,,,,,,
আপনি এত জেনে করবেনটা কি,0,Lopa Rahman,,,,,,,,,
বিয়ে প্রথা ভালো,0,Lopa Rahman,,,,,,,,,
একজন কে চুষতে ভাল লাগেনা তাদের তাই,5,Lopa Rahman,,,,,,,,,
না বলেন আপু,0,Lopa Rahman,,,,,,,,,
অনেক দিন পোস্ট পাই নি ভালো থকুন আপনদের দেখা না পেলে একটু চিন্তা হয় বটে,4,Lopa Rahman,,,,,,,,,
তাই হইতো বিজেপি খমতা হারাতে বসেছে,0,Lopa Rahman,,,,,,,,,
আমরা আপনার কাছ থেকে এরকম সত্য কথা শুনতে চাই,0,Lopa Rahman,,,,,,,,,
একদম ঠিক কথা,0,Lopa Rahman,,,,,,,,,
মুসলমান লোক নিষ্পাপ খুব কমেই হয়,2,Lopa Rahman,,,,,,,,,
নাম তুই গু খাইয়া মরে যা,1,Lopa Rahman,,,,,,,,,
আমি একজন অবিশ্বাসী কিন্তু আপনি যেভাবে ধর্মকে আঘাত করেন সেটা ঠিক নয়,0,Lopa Rahman,,,,,,,,,
যারা ইসলাম বিরোধী কথা বলে তারা জারক,0,Lopa Rahman,,,,,,,,,
ইসলাম নিয়ে গবষণা করায় ধন্যবাদ,0,Lopa Rahman,,,,,,,,,
তুই একটা জরজ মেয়ে,1,Lopa Rahman,,,,,,,,,
কারো যদি শয়তান কে দেখার সাদ জাগে এদের কে দেখলেই চলবে কত জনের বিচানায় এরা গেচে নিজেরাও জানে না,1,Lopa Rahman,,,,,,,,,
আপনার হা করা মুখের মধ্যে আমার হোল টা ঢুকাতে পারলে ভাল লাগতো আপু  আমার ধনটা আপনি চুসে দিয়েন তো আপু একটু,1,Lopa Rahman,,,,,,,,,
একমাত্র ধর্মই মানুষকে মানবতা শেখায়,0,Lopa Rahman,,,,,,,,,
তুই মানুষের জন্মের নাকি কুত্তার জন্মের,1,Lopa Rahman,,,,,,,,,
আপু আপনার এই  উক্তিটি আমার খুব ভালো লেগেছে,4,Lopa Rahman,,,,,,,,,
জানোয়ারের বাচ্চা আপু মারাও তোমার আপুর লিগা ঘোড়া ঘোড়া রাখা হয়েছে তুমি তোমার আপুর সাথে এস,1,Lopa Rahman,,,,,,,,,
সংবাদটি ভুলভাবে রটানো হয়েছে,0,Lopa Rahman,,,,,,,,,
মরার পর আজাব আর মানুষের থুথু ছাড়া কিছুই জুটবে না,1,Lopa Rahman,,,,,,,,,
ফুলনাইট রেট কত,1,Lopa Rahman,,,,,,,,,
তরে কুত্তা দিয়া চুদামু শালি,1,Lopa Rahman,,,,,,,,,
তুই এক রাতের জন্যে কত টাকা নিবি তোকে চোদার অনেক ইচ্ছে মাগী কোথাকার,1,Lopa Rahman,,,,,,,,,
জাহান্নামের লাকরি আর দোজখের আগুন বানাবে তোকে দিয়ে,1,Lopa Rahman,,,,,,,,,
কি যে মিষ্টি লাগছে বলে বুঝাতে পারবোনা,4,Lopa Rahman,,,,,,,,,
ওর মত একটা পতিতা আমার নবীর নামে উল্টাপাল্টা কথা বার্তা বলে,1,Lopa Rahman,,,,,,,,,
জানোয়ারের বাচ্চা তুই খালি একবার মিডিয়ায় প্রকাশ করে দেখ,1,Lopa Rahman,,,,,,,,,
কত বড় পন্ডিত তুই শুয়োরের বাচ্চা,1,Lopa Rahman,,,,,,,,,
তোর মত একটা ব্যাশসা ইসলামের বিরুদ্ধে কথা বার্তা বলছ,1,Lopa Rahman,,,,,,,,,
মিসেস নাম আপনার চোদবো,1,Lopa Rahman,,,,,,,,,
আপনি লিখেছেন বাক্যগুলো,0,Lopa Rahman,,,,,,,,,
জান্নাত হলো মোমেন বান্দা বানদি দের জন্য তোর মতো কুত্তার জন্য নয়,1,Lopa Rahman,,,,,,,,,
আল্লাহর উপরে ভরসা রাখেন আপনি যাকে চান তাকে পাবেন,0,Lopa Rahman,,,,,,,,,
কথা গুলো সঠিক,0,Lopa Rahman,,,,,,,,,
আপনি ধর্ম পালন করেন না ভালো কথা  কিন্তু ধর্ম নিয়ে দয়া করে বাজে কথা বলবেনা,0,Lopa Rahman,,,,,,,,,
নাম দুনিয়ায় সবচেয়ে বড় খানকি সবাই অর ফাঁসি চাই,1,Lopa Rahman,,,,,,,,,
ইয়া আল্লাহ তাকে হেদায়েত করো,0,Lopa Rahman,,,,,,,,,
তোর লজ্জা আছে নাকি,1,Lopa Rahman,,,,,,,,,
আপু তুমি খুব মিষ্টি,0,Lopa Rahman,,,,,,,,,
এই শালী গাল বন্ধ কর,1,Lopa Rahman,,,,,,,,,
তুই তো পারবিনা তুই তো বেজন্মা,1,Lopa Rahman,,,,,,,,,
তোকে যে জন্ম দিয়েছে সে পুরুষ কিনা সন্দেহ আছে হতে পারে হিজড়ার সন্তান তুই,1,Lopa Rahman,,,,,,,,,
তুর এই গালে ঘোড়ার ধন দেওয়ার দরকার কারণ পুরুষের  ধনেও তুকে কুলাবে না তাই,1,Lopa Rahman,,,,,,,,,
ইবলিশ তো তুমি নিজেই ইবলিশও এখন তোমাকে ভয় পায়,1,Lopa Rahman,,,,,,,,,
কেউ কি আছেন এই কুলাংগার কে জুতা মার,1,Lopa Rahman,,,,,,,,,
ভইরা দিছে,0,Lopa Rahman,,,,,,,,,
মাগীর ঘরের নটী  তুই  একটা  চুন্নী,1,Lopa Rahman,,,,,,,,,
আমি আপনর এক জন ভক্ত আমি আপনার সাথে কথা বলতে চাই,0,Lopa Rahman,,,,,,,,,
নাম দুনিয়ায় সবচেয়ে বড় খানকি সবাই অর ফাঁসি চাই,1,Lopa Rahman,,,,,,,,,
তাদের দুজনকেই অভিনন্দন,0,Imran H Sarker,,,,,,,,,
আপনি থাকবেন আমাদের মিছিলেশ্লোগানে দারুণ সূর্য হয়ে উত্তাল আরেক ফাল্গুনে,0,Imran H Sarker,,,,,,,,,
জীবন যেখানে দ্রোহের প্রতিশব্দ মৃত্যুই সেখানে শেষ কথা নয়,0,Imran H Sarker,,,,,,,,,
আনন্দে থাকুন আনন্দে রাখুন সকলের জীবন সুন্দর হোক শুভকামনা সবার জন্য,4,Imran H Sarker,,,,,,,,,
জন্মদিনের কেক কাটাকাটি,0,Imran H Sarker,,,,,,,,,
জন্মরাতের আড্ডা,0,Imran H Sarker,,,,,,,,,
মার্কিন প্রেসিডেন্ট ট্রাম্পের করোনা পজিটিভ এখনো কি আগের মতোই মাস্ক এবং করোনা নিয়ে মশকরা করবেন মি ট্রাম্প,0,Imran H Sarker,,,,,,,,,
অস্ত্র মামলায় এই আন্তর্জাতিক বিষয়ক নেতার আজ যাবজ্জীবন সাজা হয়েছে ,0,Imran H Sarker,,,,,,,,,
নিজের দেশের খবর নাই আমরা আছি ওপার নিয়ে,0,Imran H Sarker,,,,,,,,,
নিজের দেশের খবর নেন রেন্ডিয়া প্রীতি বাদ দেন,0,Imran H Sarker,,,,,,,,,
সহমত নাম সাহেব,0,Imran H Sarker,,,,,,,,,
বাঙ্গালী তাই এমন,0,Imran H Sarker,,,,,,,,,
কলকাতা বিমানবন্দর পানির তলায়,0,Imran H Sarker,,,,,,,,,
কলকাতা স্বাধীন হওয়া দরকার,0,Imran H Sarker,,,,,,,,,
শাহবাগে আন্দোলন করেন,0,Imran H Sarker,,,,,,,,,
হালা বাকলোল রোযার দিনেও নেশা করে কমেন্ট করে,1,Imran H Sarker,,,,,,,,,
সত্যি বেদনাদায়ক,0,Imran H Sarker,,,,,,,,,
এটা কি ধরনের কথা সে কি আমাদের দেশের মানুষ নিয়ে কথা বলে না এত হিপক্রেট কেন আপনি,0,Imran H Sarker,,,,,,,,,
সালা চোর চোরের ভড় গলা,1,Imran H Sarker,,,,,,,,,
আপনাদের পশ্চাদ্দেশে এতো তেলার খনি কেনো যে সবখানে তেল ঢেলে আগুন জ্বালাতে হবে ,1,Imran H Sarker,,,,,,,,,
মুক্তিযোদ্ধা আবার রাজাকারের পক্ষ নেয়,0,Imran H Sarker,,,,,,,,,
